code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,course_length,date_registration,date_unregistration,status,prop_submissions,avg_score,submission_distance,stu_activity_count,stu_activity_type_count,stu_total_clicks,stu_days_active,mod_pres_vle_type_count,year,month,subject,final_result
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,268,-159.0,268.0,keep,1.0,82.0,0.0,135,6,713,31,9,2013,Oct,SocSci,Pass
AAA,2013J,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,268,-53.0,268.0,keep,1.0,68.0,0.0,349,7,1121,65,9,2013,Oct,SocSci,Pass
AAA,2013J,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,268,-52.0,268.0,keep,1.0,76.25,0.0,529,8,1730,98,9,2013,Oct,SocSci,Pass
AAA,2013J,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,268,-176.0,268.0,keep,1.0,49.25,0.0,262,7,863,54,9,2013,Oct,SocSci,Pass
AAA,2013J,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,268,-110.0,268.0,keep,1.0,68.0,0.0,465,7,1547,95,9,2013,Oct,SocSci,Pass
AAA,2013J,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,268,-67.0,268.0,keep,1.0,68.0,0.0,286,8,1154,71,9,2013,Oct,SocSci,Pass
AAA,2013J,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,268,-29.0,268.0,keep,1.0,72.25,0.0,401,7,1062,77,9,2013,Oct,SocSci,Pass
AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,268,-33.0,268.0,keep,1.0,71.75,0.0,432,8,1386,90,9,2013,Oct,SocSci,Pass
AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,268,-103.0,268.0,keep,1.0,75.5,0.0,318,7,1085,78,9,2013,Oct,SocSci,Pass
AAA,2013J,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,268,-47.0,268.0,keep,1.0,72.0,0.0,382,8,1335,88,9,2013,Oct,SocSci,Pass
AAA,2013J,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,268,-59.0,268.0,keep,1.0,76.0,0.0,272,7,950,47,9,2013,Oct,SocSci,Pass
AAA,2013J,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,268,-68.0,268.0,keep,1.0,75.75,0.0,752,8,2584,112,9,2013,Oct,SocSci,Pass
AAA,2013J,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,268,-67.0,268.0,keep,1.0,69.75,0.0,566,7,2297,120,9,2013,Oct,SocSci,Pass
AAA,2013J,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,268,-95.0,268.0,keep,1.0,60.0,0.0,178,9,896,39,9,2013,Oct,SocSci,Pass
AAA,2013J,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,268,-50.0,268.0,keep,1.0,48.5,0.0,67,6,110,13,9,2013,Oct,SocSci,Fail
AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,268,-107.0,268.0,keep,1.0,66.25,0.0,532,7,2286,91,9,2013,Oct,SocSci,Pass
AAA,2013J,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,268,-27.0,268.0,keep,1.0,72.0,0.0,225,6,577,70,9,2013,Oct,SocSci,Pass
AAA,2013J,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,268,-31.0,268.0,keep,1.0,74.25,0.0,384,7,1181,90,9,2013,Oct,SocSci,Pass
AAA,2013J,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,268,-107.0,268.0,keep,1.0,60.25,0.0,335,7,2644,76,9,2013,Oct,SocSci,Pass
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,268,-62.0,268.0,keep,1.0,69.0,0.0,169,8,517,37,9,2013,Oct,SocSci,Pass
AAA,2013J,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,268,-103.0,268.0,keep,1.0,72.25,0.0,693,7,3347,110,9,2013,Oct,SocSci,Pass
AAA,2013J,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,268,-107.0,268.0,keep,1.0,82.5,0.0,548,7,1417,127,9,2013,Oct,SocSci,Pass
AAA,2013J,M,London Region,HE Qualification,60-70%,0-35,0,60,N,268,-100.0,268.0,keep,1.0,75.5,0.0,232,7,926,43,9,2013,Oct,SocSci,Pass
AAA,2013J,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,268,-107.0,268.0,keep,1.0,50.5,0.0,144,5,535,27,9,2013,Oct,SocSci,Pass
AAA,2013J,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,268,-110.0,268.0,keep,1.0,62.0,0.0,292,6,884,56,9,2013,Oct,SocSci,Pass
AAA,2013J,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,268,-43.0,268.0,keep,0.5,40.0,220.0,430,9,1840,102,9,2013,Oct,SocSci,Pass
AAA,2013J,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,268,-26.0,268.0,keep,1.0,77.5,0.0,735,8,2743,144,9,2013,Oct,SocSci,Pass
AAA,2013J,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,268,-68.0,268.0,keep,1.0,77.5,0.0,348,8,1033,89,9,2013,Oct,SocSci,Pass
AAA,2013J,M,Wales,HE Qualification,0-10%,0-35,0,60,N,268,-68.0,268.0,keep,1.0,65.5,0.0,357,7,1377,73,9,2013,Oct,SocSci,Pass
AAA,2013J,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,268,-32.0,268.0,keep,1.0,74.75,0.0,285,6,1041,85,9,2013,Oct,SocSci,Pass
AAA,2013J,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,268,-99.0,268.0,keep,1.0,66.0,0.0,92,6,251,17,9,2013,Oct,SocSci,Pass
AAA,2013J,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,268,-82.0,268.0,keep,1.0,72.25,0.0,507,8,1752,101,9,2013,Oct,SocSci,Pass
AAA,2013J,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,268,-31.0,268.0,keep,1.0,70.25,0.0,372,6,1143,76,9,2013,Oct,SocSci,Pass
AAA,2013J,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,268,-75.0,268.0,keep,1.0,68.75,0.0,101,7,365,23,9,2013,Oct,SocSci,Pass
AAA,2013J,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,268,-96.0,268.0,keep,1.0,85.25,0.0,353,8,2027,100,9,2013,Oct,SocSci,Distinction
AAA,2013J,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,268,-195.0,268.0,keep,1.0,78.5,0.0,1067,7,4197,146,9,2013,Oct,SocSci,Pass
AAA,2013J,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,268,-61.0,268.0,keep,1.0,73.0,0.0,443,7,1393,68,9,2013,Oct,SocSci,Pass
AAA,2013J,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,268,-37.0,268.0,keep,1.0,71.5,0.0,437,7,1541,68,9,2013,Oct,SocSci,Pass
AAA,2013J,F,South Region,HE Qualification,80-90%,35-55,0,60,N,268,-67.0,268.0,keep,1.0,66.25,0.0,1043,9,3660,130,9,2013,Oct,SocSci,Pass
