mod_pres_stu,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,course_length,date_registration,date_unregistration,status,prop_submissions,avg_score,submission_distance,stu_activity_count,stu_activity_type_count,stu_total_clicks,stu_days_active,mod_pres_vle_type_count,year,month,subject,final_result
AAA-2013J-11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,268,-159.0,268.0,keep,1.0,82.0,0.0,142,6,748,33,9,2013,Oct,SocSci,Pass
AAA-2013J-28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,268,-53.0,268.0,keep,1.0,68.0,0.0,383,7,1308,72,9,2013,Oct,SocSci,Pass
AAA-2013J-31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,268,-52.0,268.0,keep,1.0,76.25,0.0,561,8,1839,101,9,2013,Oct,SocSci,Pass
AAA-2013J-32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,268,-176.0,268.0,keep,1.0,49.25,0.0,289,7,907,58,9,2013,Oct,SocSci,Pass
AAA-2013J-38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,268,-110.0,268.0,keep,1.0,68.0,0.0,519,7,1687,103,9,2013,Oct,SocSci,Pass
AAA-2013J-45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,268,-67.0,268.0,keep,1.0,68.0,0.0,307,8,1259,77,9,2013,Oct,SocSci,Pass
AAA-2013J-45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,268,-29.0,268.0,keep,1.0,72.25,0.0,415,7,1136,81,9,2013,Oct,SocSci,Pass
AAA-2013J-52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,268,-33.0,268.0,keep,1.0,71.75,0.0,472,8,1482,98,9,2013,Oct,SocSci,Pass
AAA-2013J-57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,268,-103.0,268.0,keep,1.0,75.5,0.0,326,7,1115,80,9,2013,Oct,SocSci,Pass
AAA-2013J-58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,268,-47.0,268.0,keep,1.0,72.0,0.0,424,8,1449,99,9,2013,Oct,SocSci,Pass
AAA-2013J-59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,268,-59.0,268.0,keep,1.0,76.0,0.0,272,7,950,47,9,2013,Oct,SocSci,Pass
AAA-2013J-62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,268,-68.0,268.0,keep,1.0,75.75,0.0,759,8,2607,115,9,2013,Oct,SocSci,Pass
AAA-2013J-63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,268,-67.0,268.0,keep,1.0,69.75,0.0,618,7,2417,136,9,2013,Oct,SocSci,Pass
AAA-2013J-70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,268,-95.0,268.0,keep,1.0,60.0,0.0,190,9,1018,42,9,2013,Oct,SocSci,Pass
AAA-2013J-74372,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,268,-50.0,268.0,keep,1.0,48.5,0.0,67,6,110,13,9,2013,Oct,SocSci,Fail
AAA-2013J-75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,268,-107.0,268.0,keep,1.0,66.25,0.0,562,7,2366,96,9,2013,Oct,SocSci,Pass
AAA-2013J-77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,268,-27.0,268.0,keep,1.0,72.0,0.0,226,6,578,71,9,2013,Oct,SocSci,Pass
AAA-2013J-91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,268,-31.0,268.0,keep,1.0,74.25,0.0,403,7,1249,96,9,2013,Oct,SocSci,Pass
AAA-2013J-98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,268,-107.0,268.0,keep,1.0,60.25,0.0,340,7,2702,77,9,2013,Oct,SocSci,Pass
AAA-2013J-100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,268,-62.0,268.0,keep,1.0,69.0,0.0,172,8,532,38,9,2013,Oct,SocSci,Pass
AAA-2013J-101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,268,-103.0,268.0,keep,1.0,72.25,0.0,770,7,3579,121,9,2013,Oct,SocSci,Pass
AAA-2013J-102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,268,-107.0,268.0,keep,1.0,82.5,0.0,627,7,1591,144,9,2013,Oct,SocSci,Pass
AAA-2013J-102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,268,-100.0,268.0,keep,1.0,75.5,0.0,236,7,936,45,9,2013,Oct,SocSci,Pass
AAA-2013J-106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,268,-107.0,268.0,keep,1.0,50.5,0.0,162,5,588,32,9,2013,Oct,SocSci,Pass
AAA-2013J-110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,268,-110.0,268.0,keep,1.0,62.0,0.0,300,6,898,57,9,2013,Oct,SocSci,Pass
