code_module,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,course_length,date_registration,date_unregistration,status,prop_submissions,avg_score,submission_distance,stu_activity_count,stu_activity_type_count,stu_total_clicks,stu_days_active,mod_pres_vle_type_count,year,month,subject,final_result
AAA,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,268,-159.0,268.0,keep,0.8333333333333334,68.33333333333333,265.0,196,6,934,40,9,2013,Oct,SocSci,Pass
AAA,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,268,-53.0,268.0,keep,0.8333333333333334,55.333333333333336,265.0,430,7,1435,80,9,2013,Oct,SocSci,Pass
AAA,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,268,-52.0,268.0,keep,0.8333333333333334,63.333333333333336,265.0,663,8,2158,123,9,2013,Oct,SocSci,Pass
AAA,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,268,-176.0,268.0,keep,0.8333333333333334,45.333333333333336,265.0,352,7,1034,70,9,2013,Oct,SocSci,Pass
AAA,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,268,-110.0,268.0,keep,0.8333333333333334,56.666666666666664,265.0,723,8,2445,143,9,2013,Oct,SocSci,Pass
AAA,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,268,-67.0,268.0,keep,0.8333333333333334,56.666666666666664,265.0,355,8,1492,90,9,2013,Oct,SocSci,Pass
AAA,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,268,-29.0,268.0,keep,0.8333333333333334,60.333333333333336,265.0,531,8,1428,105,9,2013,Oct,SocSci,Pass
AAA,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,268,-33.0,268.0,keep,0.8333333333333334,59.5,265.0,593,8,1894,122,9,2013,Oct,SocSci,Pass
AAA,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,268,-103.0,268.0,keep,0.8333333333333334,61.666666666666664,265.0,403,8,1319,90,9,2013,Oct,SocSci,Pass
AAA,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,268,-47.0,268.0,keep,0.8333333333333334,61.0,265.0,526,8,1732,120,9,2013,Oct,SocSci,Pass
AAA,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,268,-59.0,268.0,keep,0.8333333333333334,65.5,265.0,345,7,1102,61,9,2013,Oct,SocSci,Pass
AAA,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,268,-68.0,268.0,keep,0.8333333333333334,63.333333333333336,265.0,981,8,3388,148,9,2013,Oct,SocSci,Pass
AAA,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,268,-67.0,268.0,keep,0.8333333333333334,59.666666666666664,265.0,760,7,2737,175,9,2013,Oct,SocSci,Pass
AAA,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,268,-95.0,268.0,keep,0.8333333333333334,46.333333333333336,265.0,205,9,1053,46,9,2013,Oct,SocSci,Pass
AAA,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,268,-50.0,268.0,keep,0.6666666666666666,32.333333333333336,480.0,72,6,116,14,9,2013,Oct,SocSci,Fail
AAA,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,268,-107.0,268.0,keep,0.8333333333333334,55.0,265.0,754,7,2992,122,9,2013,Oct,SocSci,Pass
AAA,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,268,-27.0,268.0,keep,0.8333333333333334,58.666666666666664,265.0,271,6,680,86,9,2013,Oct,SocSci,Pass
AAA,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,268,-31.0,268.0,keep,0.8333333333333334,59.0,265.0,496,7,1494,125,9,2013,Oct,SocSci,Pass
AAA,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,268,-107.0,268.0,keep,0.8333333333333334,50.5,265.0,386,7,2839,91,9,2013,Oct,SocSci,Pass
AAA,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,268,-62.0,268.0,keep,0.8333333333333334,57.0,265.0,243,8,744,52,9,2013,Oct,SocSci,Pass
AAA,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,268,-103.0,268.0,keep,0.8333333333333334,60.5,265.0,913,7,4104,144,9,2013,Oct,SocSci,Pass
AAA,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,268,-107.0,268.0,keep,0.8333333333333334,65.0,265.0,781,7,1944,177,9,2013,Oct,SocSci,Pass
AAA,M,London Region,HE Qualification,60-70%,0-35,0,60,N,268,-100.0,268.0,keep,0.8333333333333334,63.833333333333336,265.0,313,7,1150,58,9,2013,Oct,SocSci,Pass
AAA,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,268,-107.0,268.0,keep,0.8333333333333334,44.5,265.0,221,5,733,47,9,2013,Oct,SocSci,Pass
AAA,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,268,-110.0,268.0,keep,0.8333333333333334,52.833333333333336,265.0,343,6,998,70,9,2013,Oct,SocSci,Pass
AAA,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,268,-43.0,268.0,keep,0.5,40.5,485.0,589,9,2343,136,9,2013,Oct,SocSci,Pass
AAA,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,268,-26.0,268.0,keep,0.8333333333333334,64.66666666666667,265.0,1001,8,3553,195,9,2013,Oct,SocSci,Pass
AAA,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,268,-68.0,268.0,keep,0.8333333333333334,60.666666666666664,265.0,510,8,1358,120,9,2013,Oct,SocSci,Pass
AAA,M,Wales,HE Qualification,0-10%,0-35,0,60,N,268,-68.0,268.0,keep,0.8333333333333334,52.0,265.0,514,7,1886,108,9,2013,Oct,SocSci,Pass
AAA,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,268,-32.0,268.0,keep,0.8333333333333334,61.833333333333336,265.0,311,6,1108,98,9,2013,Oct,SocSci,Pass
AAA,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,268,-99.0,268.0,keep,0.8333333333333334,51.5,265.0,111,6,284,27,9,2013,Oct,SocSci,Pass
AAA,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,268,-82.0,268.0,keep,0.8333333333333334,59.5,265.0,600,8,2041,127,9,2013,Oct,SocSci,Pass
AAA,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,268,-31.0,268.0,keep,0.8333333333333334,58.0,265.0,440,6,1321,89,9,2013,Oct,SocSci,Pass
AAA,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,268,-75.0,268.0,keep,0.8333333333333334,56.166666666666664,265.0,152,8,520,32,9,2013,Oct,SocSci,Pass
AAA,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,268,-96.0,268.0,keep,0.8333333333333334,70.33333333333333,265.0,569,8,2732,138,9,2013,Oct,SocSci,Distinction
AAA,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,268,-195.0,268.0,keep,0.8333333333333334,66.83333333333333,265.0,1409,7,5528,192,9,2013,Oct,SocSci,Pass
AAA,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,268,-61.0,268.0,keep,0.8333333333333334,60.5,265.0,585,7,1823,92,9,2013,Oct,SocSci,Pass
AAA,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,268,-37.0,268.0,keep,0.8333333333333334,61.333333333333336,265.0,631,7,2121,95,9,2013,Oct,SocSci,Pass
AAA,F,South Region,HE Qualification,80-90%,35-55,0,60,N,268,-67.0,268.0,keep,0.8333333333333334,57.333333333333336,265.0,1620,9,5645,200,9,2013,Oct,SocSci,Pass
AAA,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,268,-36.0,268.0,keep,0.8333333333333334,45.333333333333336,265.0,149,5,452,35,9,2013,Oct,SocSci,Pass
AAA,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,268,-132.0,268.0,keep,0.8333333333333334,41.666666666666664,265.0,192,7,597,32,9,2013,Oct,SocSci,Fail
AAA,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,268,-92.0,268.0,keep,0.6666666666666666,49.166666666666664,480.0,228,6,611,74,9,2013,Oct,SocSci,Fail
AAA,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,268,-44.0,268.0,keep,0.8333333333333334,41.666666666666664,265.0,89,6,270,20,9,2013,Oct,SocSci,Pass
AAA,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,268,-16.0,268.0,keep,0.8333333333333334,55.833333333333336,265.0,419,6,1529,81,9,2013,Oct,SocSci,Pass
AAA,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,268,-54.0,268.0,keep,0.8333333333333334,66.5,265.0,963,8,4003,202,9,2013,Oct,SocSci,Pass
AAA,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,268,-52.0,268.0,keep,0.8333333333333334,58.833333333333336,265.0,386,8,1405,87,9,2013,Oct,SocSci,Pass
AAA,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,268,-64.0,268.0,keep,0.8333333333333334,59.833333333333336,265.0,239,6,466,51,9,2013,Oct,SocSci,Pass
AAA,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,268,-117.0,268.0,keep,0.8333333333333334,57.833333333333336,265.0,515,7,1510,99,9,2013,Oct,SocSci,Pass
AAA,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,268,-32.0,268.0,keep,0.8333333333333334,55.333333333333336,265.0,302,7,745,42,9,2013,Oct,SocSci,Pass
AAA,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,268,-162.0,268.0,keep,0.8333333333333334,67.0,265.0,1643,8,6318,249,9,2013,Oct,SocSci,Pass
AAA,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,268,-92.0,268.0,keep,0.8333333333333334,65.16666666666667,265.0,437,7,2016,97,9,2013,Oct,SocSci,Pass
AAA,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,268,-57.0,268.0,keep,0.8333333333333334,31.333333333333332,265.0,50,5,138,17,9,2013,Oct,SocSci,Fail
AAA,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,268,-64.0,268.0,keep,0.8333333333333334,44.5,265.0,858,7,2012,157,9,2013,Oct,SocSci,Pass
AAA,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,268,-128.0,268.0,keep,0.8333333333333334,45.0,265.0,547,7,1975,116,9,2013,Oct,SocSci,Pass
AAA,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,268,-32.0,268.0,keep,0.8333333333333334,40.833333333333336,265.0,368,7,964,58,9,2013,Oct,SocSci,Pass
AAA,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,268,-74.0,268.0,keep,0.8333333333333334,49.833333333333336,265.0,477,9,1312,147,9,2013,Oct,SocSci,Pass
AAA,M,London Region,HE Qualification,10-20,0-35,0,120,N,268,-12.0,268.0,keep,0.16666666666666666,12.333333333333334,817.0,99,8,427,15,9,2013,Oct,SocSci,Fail
AAA,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,268,-109.0,268.0,keep,0.8333333333333334,63.333333333333336,265.0,585,9,2136,109,9,2013,Oct,SocSci,Pass
AAA,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,268,-136.0,268.0,keep,0.8333333333333334,74.33333333333333,265.0,1922,7,8562,231,9,2013,Oct,SocSci,Distinction
AAA,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,268,-180.0,268.0,keep,0.8333333333333334,66.16666666666667,265.0,442,8,1541,84,9,2013,Oct,SocSci,Pass
AAA,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,268,-62.0,268.0,keep,0.8333333333333334,57.0,265.0,804,7,3219,176,9,2013,Oct,SocSci,Pass
AAA,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,268,-54.0,268.0,keep,0.8333333333333334,45.333333333333336,265.0,280,6,534,81,9,2013,Oct,SocSci,Pass
AAA,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,268,-68.0,268.0,keep,0.8333333333333334,60.166666666666664,265.0,563,8,1665,126,9,2013,Oct,SocSci,Pass
AAA,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,268,-51.0,268.0,keep,0.5,28.333333333333332,646.0,117,6,333,32,9,2013,Oct,SocSci,Fail
AAA,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,268,-169.0,268.0,keep,0.8333333333333334,69.66666666666667,265.0,807,7,2953,162,9,2013,Oct,SocSci,Distinction
AAA,M,London Region,HE Qualification,60-70%,0-35,0,60,N,268,-31.0,268.0,keep,0.8333333333333334,60.333333333333336,265.0,136,7,227,37,9,2013,Oct,SocSci,Pass
AAA,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,268,-108.0,268.0,keep,0.8333333333333334,51.5,265.0,166,6,445,38,9,2013,Oct,SocSci,Pass
AAA,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,268,-165.0,268.0,keep,0.8333333333333334,55.0,265.0,163,6,614,50,9,2013,Oct,SocSci,Pass
AAA,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,268,-58.0,268.0,keep,0.8333333333333334,65.0,265.0,349,7,1215,123,9,2013,Oct,SocSci,Pass
AAA,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,268,-29.0,268.0,keep,0.6666666666666666,45.166666666666664,431.0,435,7,1839,86,9,2013,Oct,SocSci,Pass
AAA,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,268,2.0,268.0,keep,0.8333333333333334,65.0,265.0,210,6,732,41,9,2013,Oct,SocSci,Pass
AAA,M,South Region,HE Qualification,90-100%,55<=,0,60,N,268,-151.0,268.0,keep,0.8333333333333334,66.0,265.0,743,8,1935,162,9,2013,Oct,SocSci,Pass
AAA,M,London Region,HE Qualification,80-90%,0-35,0,80,N,268,-45.0,268.0,keep,0.8333333333333334,63.166666666666664,265.0,107,6,321,26,9,2013,Oct,SocSci,Pass
AAA,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,268,-47.0,268.0,keep,0.8333333333333334,48.666666666666664,265.0,191,6,427,44,9,2013,Oct,SocSci,Pass
AAA,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,268,-50.0,268.0,keep,0.8333333333333334,65.66666666666667,265.0,573,7,1892,135,9,2013,Oct,SocSci,Pass
