code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,course_length,date_registration,date_unregistration,status,prop_submissions,avg_score,submission_distance,stu_activity_count,stu_activity_type_count,stu_total_clicks,stu_days_active,mod_pres_vle_type_count,year,month,subject,final_result
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,268,-159.0,268.0,keep,1.0,81.0,0.0,121,6,628,26,9,2013,Oct,SocSci,Pass
AAA,2013J,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,268,-53.0,268.0,keep,1.0,69.33333333333333,0.0,268,6,904,46,9,2013,Oct,SocSci,Pass
AAA,2013J,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,268,-52.0,268.0,keep,1.0,72.33333333333333,0.0,377,7,1257,69,9,2013,Oct,SocSci,Pass
AAA,2013J,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,268,-176.0,268.0,keep,1.0,54.0,0.0,207,7,747,40,9,2013,Oct,SocSci,Pass
AAA,2013J,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,268,-110.0,268.0,keep,1.0,74.0,0.0,372,7,1287,72,9,2013,Oct,SocSci,Pass
AAA,2013J,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,268,-67.0,268.0,keep,1.0,65.66666666666667,0.0,184,7,801,43,9,2013,Oct,SocSci,Pass
AAA,2013J,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,268,-29.0,268.0,keep,1.0,72.0,0.0,316,7,805,54,9,2013,Oct,SocSci,Pass
AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,268,-33.0,268.0,keep,1.0,71.66666666666667,0.0,307,7,1041,63,9,2013,Oct,SocSci,Pass
AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,268,-103.0,268.0,keep,1.0,74.0,0.0,245,6,919,55,9,2013,Oct,SocSci,Pass
AAA,2013J,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,268,-47.0,268.0,keep,1.0,71.66666666666667,0.0,279,7,1051,62,9,2013,Oct,SocSci,Pass
AAA,2013J,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,268,-59.0,268.0,keep,1.0,72.0,0.0,221,7,833,38,9,2013,Oct,SocSci,Pass
AAA,2013J,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,268,-68.0,268.0,keep,1.0,77.66666666666667,0.0,562,7,1969,81,9,2013,Oct,SocSci,Pass
AAA,2013J,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,268,-67.0,268.0,keep,1.0,67.66666666666667,0.0,389,6,1609,82,9,2013,Oct,SocSci,Pass
AAA,2013J,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,268,-95.0,268.0,keep,1.0,59.666666666666664,0.0,151,9,665,32,9,2013,Oct,SocSci,Pass
AAA,2013J,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,268,-50.0,268.0,keep,1.0,48.333333333333336,0.0,50,5,84,10,9,2013,Oct,SocSci,Fail
AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,268,-107.0,268.0,keep,1.0,66.66666666666667,0.0,386,7,1788,62,9,2013,Oct,SocSci,Pass
AAA,2013J,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,268,-27.0,268.0,keep,1.0,73.66666666666667,0.0,178,6,473,49,9,2013,Oct,SocSci,Pass
AAA,2013J,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,268,-31.0,268.0,keep,1.0,74.66666666666667,0.0,280,6,871,61,9,2013,Oct,SocSci,Pass
AAA,2013J,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,268,-107.0,268.0,keep,1.0,60.0,0.0,240,7,1847,51,9,2013,Oct,SocSci,Pass
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,268,-62.0,268.0,keep,1.0,67.33333333333333,0.0,147,8,456,32,9,2013,Oct,SocSci,Pass
AAA,2013J,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,268,-103.0,268.0,keep,1.0,74.33333333333333,0.0,436,7,2396,70,9,2013,Oct,SocSci,Pass
AAA,2013J,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,268,-107.0,268.0,keep,1.0,84.0,0.0,392,6,1091,92,9,2013,Oct,SocSci,Pass
AAA,2013J,M,London Region,HE Qualification,60-70%,0-35,0,60,N,268,-100.0,268.0,keep,1.0,76.33333333333333,0.0,175,6,718,29,9,2013,Oct,SocSci,Pass
AAA,2013J,M,South Region,HE Qualification,80-90%,35-55,0,60,N,268,5.0,175.0,keep,1.0,60.0,0.0,137,7,443,28,9,2013,Oct,SocSci,Withdrawn
AAA,2013J,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,268,-107.0,268.0,keep,1.0,54.666666666666664,0.0,112,5,401,20,9,2013,Oct,SocSci,Pass
AAA,2013J,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,268,-110.0,268.0,keep,1.0,65.0,0.0,188,6,487,38,9,2013,Oct,SocSci,Pass
AAA,2013J,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,268,-43.0,268.0,keep,0.6666666666666666,53.333333333333336,54.0,349,9,1588,77,9,2013,Oct,SocSci,Pass
AAA,2013J,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,268,-26.0,268.0,keep,1.0,78.33333333333333,0.0,550,8,2126,101,9,2013,Oct,SocSci,Pass
AAA,2013J,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,268,-68.0,268.0,keep,1.0,76.66666666666667,0.0,262,7,776,59,9,2013,Oct,SocSci,Pass
AAA,2013J,M,Wales,HE Qualification,0-10%,0-35,0,60,N,268,-68.0,268.0,keep,1.0,67.33333333333333,0.0,230,6,957,48,9,2013,Oct,SocSci,Pass
AAA,2013J,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,268,-32.0,268.0,keep,1.0,73.66666666666667,0.0,213,6,866,58,9,2013,Oct,SocSci,Pass
AAA,2013J,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,268,-99.0,268.0,keep,1.0,67.0,0.0,78,6,203,14,9,2013,Oct,SocSci,Pass
AAA,2013J,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,268,-82.0,268.0,keep,1.0,73.0,0.0,372,7,1349,70,9,2013,Oct,SocSci,Pass
AAA,2013J,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,268,-31.0,268.0,keep,1.0,68.66666666666667,0.0,277,6,779,52,9,2013,Oct,SocSci,Pass
AAA,2013J,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,268,-75.0,268.0,keep,1.0,67.66666666666667,0.0,62,7,252,12,9,2013,Oct,SocSci,Pass
AAA,2013J,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,268,-96.0,268.0,keep,1.0,85.0,0.0,238,8,1445,64,9,2013,Oct,SocSci,Distinction
AAA,2013J,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,268,-32.0,144.0,keep,0.6666666666666666,41.0,117.0,109,6,287,24,9,2013,Oct,SocSci,Withdrawn
AAA,2013J,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,268,-195.0,268.0,keep,1.0,78.66666666666667,0.0,781,7,2983,104,9,2013,Oct,SocSci,Pass
AAA,2013J,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,268,-61.0,268.0,keep,1.0,73.66666666666667,0.0,317,6,1048,43,9,2013,Oct,SocSci,Pass
AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,268,-110.0,129.0,keep,0.3333333333333333,15.0,171.0,44,7,143,9,9,2013,Oct,SocSci,Withdrawn
AAA,2013J,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,268,-37.0,268.0,keep,1.0,71.66666666666667,0.0,266,7,931,41,9,2013,Oct,SocSci,Pass
AAA,2013J,F,South Region,HE Qualification,80-90%,35-55,0,60,N,268,-67.0,268.0,keep,1.0,63.333333333333336,0.0,764,9,2647,92,9,2013,Oct,SocSci,Pass
AAA,2013J,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,268,-36.0,268.0,keep,1.0,53.666666666666664,0.0,86,5,276,21,9,2013,Oct,SocSci,Pass
AAA,2013J,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,268,-132.0,268.0,keep,1.0,55.666666666666664,0.0,144,7,457,22,9,2013,Oct,SocSci,Fail
AAA,2013J,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,268,-92.0,268.0,keep,1.0,74.66666666666667,0.0,165,6,490,50,9,2013,Oct,SocSci,Fail
AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,268,-174.0,158.0,keep,1.0,72.0,0.0,446,7,1497,84,9,2013,Oct,SocSci,Withdrawn
AAA,2013J,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,268,-44.0,268.0,keep,1.0,49.0,0.0,38,4,66,12,9,2013,Oct,SocSci,Pass
AAA,2013J,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,268,-16.0,268.0,keep,1.0,69.66666666666667,0.0,239,6,910,46,9,2013,Oct,SocSci,Pass
AAA,2013J,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,268,-54.0,268.0,keep,1.0,80.0,0.0,436,8,1983,91,9,2013,Oct,SocSci,Pass
AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,268,-64.0,191.0,keep,0.6666666666666666,53.333333333333336,117.0,204,8,789,36,9,2013,Oct,SocSci,Withdrawn
AAA,2013J,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,268,-52.0,268.0,keep,1.0,78.0,0.0,193,7,789,47,9,2013,Oct,SocSci,Pass
AAA,2013J,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,268,-64.0,268.0,keep,1.0,72.66666666666667,0.0,103,6,223,22,9,2013,Oct,SocSci,Pass
AAA,2013J,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,268,-117.0,268.0,keep,1.0,66.66666666666667,0.0,274,7,850,52,9,2013,Oct,SocSci,Pass
AAA,2013J,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,268,-32.0,268.0,keep,1.0,72.33333333333333,0.0,160,6,409,21,9,2013,Oct,SocSci,Pass
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,268,-162.0,268.0,keep,1.0,79.66666666666667,0.0,816,8,3283,116,9,2013,Oct,SocSci,Pass
AAA,2013J,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,268,-92.0,268.0,keep,1.0,75.66666666666667,0.0,286,6,1486,62,9,2013,Oct,SocSci,Pass
AAA,2013J,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,268,-57.0,268.0,keep,1.0,40.333333333333336,0.0,34,5,111,10,9,2013,Oct,SocSci,Fail
AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,268,-64.0,268.0,keep,1.0,54.666666666666664,0.0,414,6,1089,80,9,2013,Oct,SocSci,Pass
AAA,2013J,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,268,-128.0,268.0,keep,1.0,53.666666666666664,0.0,309,6,1176,63,9,2013,Oct,SocSci,Pass
AAA,2013J,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,268,-32.0,268.0,keep,1.0,49.333333333333336,0.0,189,6,476,26,9,2013,Oct,SocSci,Pass
AAA,2013J,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,268,-74.0,268.0,keep,1.0,64.0,0.0,298,9,847,83,9,2013,Oct,SocSci,Pass
AAA,2013J,M,London Region,HE Qualification,10-20,0-35,0,120,N,268,-12.0,268.0,keep,0.3333333333333333,24.666666666666668,171.0,99,8,427,15,9,2013,Oct,SocSci,Fail
AAA,2013J,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,268,-109.0,268.0,keep,1.0,81.33333333333333,0.0,331,9,1403,49,9,2013,Oct,SocSci,Pass
AAA,2013J,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,268,-136.0,268.0,keep,1.0,88.66666666666667,0.0,988,6,4712,119,9,2013,Oct,SocSci,Distinction
AAA,2013J,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,268,-180.0,268.0,keep,1.0,81.33333333333333,0.0,184,8,782,38,9,2013,Oct,SocSci,Pass
AAA,2013J,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,268,-62.0,268.0,keep,1.0,69.66666666666667,0.0,407,7,1454,92,9,2013,Oct,SocSci,Pass
AAA,2013J,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,268,-45.0,185.0,keep,0.3333333333333333,16.666666666666668,73.0,181,6,1040,35,9,2013,Oct,SocSci,Withdrawn
AAA,2013J,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,268,-54.0,268.0,keep,1.0,62.0,0.0,179,6,355,46,9,2013,Oct,SocSci,Pass
AAA,2013J,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,268,-73.0,166.0,keep,1.0,66.66666666666667,0.0,277,7,1336,40,9,2013,Oct,SocSci,Withdrawn
AAA,2013J,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,268,-68.0,268.0,keep,1.0,73.66666666666667,0.0,357,8,1122,67,9,2013,Oct,SocSci,Pass
AAA,2013J,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,268,-51.0,268.0,keep,1.0,56.666666666666664,0.0,84,6,283,16,9,2013,Oct,SocSci,Fail
AAA,2013J,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,268,-169.0,268.0,keep,1.0,83.66666666666667,0.0,485,7,1805,93,9,2013,Oct,SocSci,Distinction
AAA,2013J,M,London Region,HE Qualification,60-70%,0-35,0,60,N,268,-31.0,268.0,keep,1.0,67.66666666666667,0.0,72,6,137,19,9,2013,Oct,SocSci,Pass
AAA,2013J,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,268,-108.0,268.0,keep,1.0,61.0,0.0,102,6,272,23,9,2013,Oct,SocSci,Pass
AAA,2013J,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,268,-165.0,268.0,keep,1.0,67.33333333333333,0.0,112,6,424,28,9,2013,Oct,SocSci,Pass
AAA,2013J,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,268,-58.0,268.0,keep,1.0,77.33333333333333,0.0,162,6,508,55,9,2013,Oct,SocSci,Pass
AAA,2013J,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,268,-29.0,268.0,keep,1.0,68.33333333333333,0.0,267,7,1221,50,9,2013,Oct,SocSci,Pass
AAA,2013J,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,268,2.0,268.0,keep,1.0,84.0,0.0,85,6,250,19,9,2013,Oct,SocSci,Pass
AAA,2013J,M,South Region,HE Qualification,90-100%,55<=,0,60,N,268,-151.0,268.0,keep,1.0,74.66666666666667,0.0,343,7,949,81,9,2013,Oct,SocSci,Pass
AAA,2013J,M,London Region,HE Qualification,80-90%,0-35,0,80,N,268,-45.0,268.0,keep,1.0,81.0,0.0,64,6,173,16,9,2013,Oct,SocSci,Pass
AAA,2013J,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,268,-47.0,268.0,keep,1.0,61.333333333333336,0.0,108,6,270,23,9,2013,Oct,SocSci,Pass
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,268,-50.0,268.0,keep,1.0,77.0,0.0,344,7,1246,77,9,2013,Oct,SocSci,Pass
AAA,2013J,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,268,-31.0,268.0,keep,1.0,56.0,0.0,246,6,746,51,9,2013,Oct,SocSci,Fail
AAA,2013J,M,London Region,HE Qualification,20-30%,35-55,0,60,N,268,-36.0,268.0,keep,1.0,72.66666666666667,0.0,141,6,383,26,9,2013,Oct,SocSci,Pass
AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,268,-16.0,268.0,keep,1.0,58.0,0.0,188,8,673,34,9,2013,Oct,SocSci,Pass
AAA,2013J,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,268,-198.0,268.0,keep,1.0,76.66666666666667,0.0,425,7,1280,101,9,2013,Oct,SocSci,Pass
AAA,2013J,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,268,-103.0,268.0,keep,1.0,81.0,0.0,532,8,1898,93,9,2013,Oct,SocSci,Pass
AAA,2013J,M,North Western Region,HE Qualification,10-20,0-35,0,120,N,268,-117.0,268.0,keep,1.0,75.0,0.0,173,6,587,51,9,2013,Oct,SocSci,Pass
AAA,2013J,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,268,-68.0,268.0,keep,1.0,59.666666666666664,0.0,186,7,474,34,9,2013,Oct,SocSci,Pass
AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,268,-172.0,268.0,keep,1.0,66.0,0.0,709,5,2404,112,9,2013,Oct,SocSci,Pass
AAA,2013J,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,268,-145.0,268.0,keep,1.0,69.66666666666667,0.0,199,8,635,38,9,2013,Oct,SocSci,Pass
AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,268,-191.0,268.0,keep,1.0,78.66666666666667,0.0,470,6,1700,69,9,2013,Oct,SocSci,Pass
