code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,course_length,date_registration,date_unregistration,prop_submissions,avg_score,submission_distance,stu_activity_count,stu_activity_type_count,stu_total_clicks,stu_days_active,mod_pres_vle_type_count,year,month,subject,final_result
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,268,-159.0,268.0,1.0,81.0,0.0,133.0,6.0,710.0,29.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,268,-53.0,268.0,1.0,69.33333333333333,0.0,313.0,7.0,1010.0,56.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,268,-52.0,268.0,1.0,72.33333333333333,0.0,445.0,8.0,1499.0,83.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,268,-176.0,268.0,1.0,54.0,0.0,242.0,7.0,825.0,50.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,268,-110.0,268.0,1.0,74.0,0.0,404.0,7.0,1391.0,81.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,268,-67.0,268.0,1.0,65.66666666666667,0.0,237.0,8.0,993.0,60.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,268,-29.0,268.0,1.0,72.0,0.0,359.0,7.0,915.0,67.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,268,-33.0,268.0,1.0,71.66666666666667,0.0,342.0,8.0,1130.0,72.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,268,-103.0,268.0,1.0,74.0,0.0,276.0,7.0,1012.0,67.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,268,-47.0,268.0,1.0,71.66666666666667,0.0,327.0,8.0,1188.0,77.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,268,-59.0,268.0,1.0,72.0,0.0,238.0,7.0,861.0,42.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,268,-68.0,268.0,1.0,77.66666666666667,0.0,627.0,8.0,2194.0,93.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,268,-67.0,268.0,1.0,67.66666666666667,0.0,472.0,7.0,1981.0,100.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,268,-95.0,268.0,1.0,59.666666666666664,0.0,161.0,9.0,735.0,36.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,268,-50.0,268.0,1.0,48.333333333333336,0.0,50.0,5.0,84.0,10.0,9.0,2013,Oct,SocSci,Fail
AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,268,-107.0,268.0,1.0,66.66666666666667,0.0,437.0,7.0,1991.0,74.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,268,-27.0,268.0,1.0,73.66666666666667,0.0,198.0,6.0,534.0,57.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,268,-31.0,268.0,1.0,74.66666666666667,0.0,312.0,6.0,990.0,75.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,268,-107.0,268.0,1.0,60.0,0.0,292.0,7.0,2308.0,62.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,268,-62.0,268.0,1.0,67.33333333333333,0.0,150.0,8.0,461.0,34.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,268,-103.0,268.0,1.0,74.33333333333333,0.0,532.0,7.0,2715.0,88.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,268,-107.0,268.0,1.0,84.0,0.0,453.0,7.0,1213.0,107.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,268,-100.0,268.0,1.0,76.33333333333333,0.0,190.0,7.0,775.0,34.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,268,5.0,175.0,1.0,60.0,0.0,145.0,7.0,465.0,33.0,9.0,2013,Oct,SocSci,Withdrawn
AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,268,-107.0,268.0,1.0,54.666666666666664,0.0,115.0,5.0,405.0,21.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,268,-110.0,268.0,1.0,65.0,0.0,219.0,6.0,594.0,46.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,268,-43.0,268.0,0.6666666666666666,53.333333333333336,54.0,388.0,9.0,1718.0,91.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,268,-26.0,268.0,1.0,78.33333333333333,0.0,642.0,8.0,2419.0,125.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,268,-68.0,268.0,1.0,76.66666666666667,0.0,317.0,8.0,943.0,78.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,268,-68.0,268.0,1.0,67.33333333333333,0.0,264.0,6.0,1082.0,54.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,268,-32.0,268.0,1.0,73.66666666666667,0.0,242.0,6.0,939.0,71.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,268,-99.0,268.0,1.0,67.0,0.0,79.0,6.0,204.0,15.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,268,-82.0,268.0,1.0,73.0,0.0,437.0,8.0,1578.0,87.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,268,-31.0,268.0,1.0,68.66666666666667,0.0,304.0,6.0,901.0,60.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,268,-75.0,268.0,1.0,67.66666666666667,0.0,78.0,7.0,299.0,17.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,268,-96.0,268.0,1.0,85.0,0.0,303.0,8.0,1750.0,86.0,9.0,2013,Oct,SocSci,Distinction
AAA,2013J,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,268,-195.0,268.0,1.0,78.66666666666667,0.0,986.0,7.0,3865.0,134.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,268,-61.0,268.0,1.0,73.66666666666667,0.0,369.0,7.0,1194.0,55.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,268,-37.0,268.0,1.0,71.66666666666667,0.0,344.0,7.0,1237.0,55.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,268,-67.0,268.0,1.0,63.333333333333336,0.0,873.0,9.0,3049.0,110.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,268,-36.0,268.0,1.0,53.666666666666664,0.0,90.0,5.0,291.0,23.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,268,-132.0,268.0,1.0,55.666666666666664,0.0,144.0,7.0,457.0,22.0,9.0,2013,Oct,SocSci,Fail
AAA,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,268,-92.0,268.0,1.0,74.66666666666667,0.0,187.0,6.0,534.0,58.0,9.0,2013,Oct,SocSci,Fail
