code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,course_length,date_registration,date_unregistration,status,prop_submissions,avg_score,submission_distance,stu_activity_count,stu_activity_type_count,stu_total_clicks,stu_days_active,mod_pres_vle_type_count,year,month,subject,final_result
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,268,-159.0,268.0,keep,0.8333333333333334,68.33333333333333,265.0,196,6,934,40,9,2013,Oct,SocSci,Pass
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,268,-53.0,268.0,keep,0.8333333333333334,55.333333333333336,265.0,430,7,1435,80,9,2013,Oct,SocSci,Pass
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,268,-52.0,268.0,keep,0.8333333333333334,63.333333333333336,265.0,663,8,2158,123,9,2013,Oct,SocSci,Pass
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,268,-176.0,268.0,keep,0.8333333333333334,45.333333333333336,265.0,352,7,1034,70,9,2013,Oct,SocSci,Pass
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,268,-110.0,268.0,keep,0.8333333333333334,56.666666666666664,265.0,723,8,2445,143,9,2013,Oct,SocSci,Pass
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,268,-67.0,268.0,keep,0.8333333333333334,56.666666666666664,265.0,355,8,1492,90,9,2013,Oct,SocSci,Pass
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,268,-29.0,268.0,keep,0.8333333333333334,60.333333333333336,265.0,531,8,1428,105,9,2013,Oct,SocSci,Pass
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,268,-33.0,268.0,keep,0.8333333333333334,59.5,265.0,593,8,1894,122,9,2013,Oct,SocSci,Pass
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,268,-103.0,268.0,keep,0.8333333333333334,61.666666666666664,265.0,403,8,1319,90,9,2013,Oct,SocSci,Pass
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,268,-47.0,268.0,keep,0.8333333333333334,61.0,265.0,526,8,1732,120,9,2013,Oct,SocSci,Pass
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,268,-59.0,268.0,keep,0.8333333333333334,65.5,265.0,345,7,1102,61,9,2013,Oct,SocSci,Pass
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,268,-68.0,268.0,keep,0.8333333333333334,63.333333333333336,265.0,981,8,3388,148,9,2013,Oct,SocSci,Pass
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,268,-67.0,268.0,keep,0.8333333333333334,59.666666666666664,265.0,760,7,2737,175,9,2013,Oct,SocSci,Pass
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,268,-180.0,96.0,keep,0.3333333333333333,22.333333333333332,763.0,54,6,171,11,9,2013,Oct,SocSci,Withdrawn
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,268,-95.0,268.0,keep,0.8333333333333334,46.333333333333336,265.0,205,9,1053,46,9,2013,Oct,SocSci,Pass
